Date,Month,Day Hour,Dry Bulb Temp (celsius),Dew Point Temp (celsius),WSpd (m/s),Max Theoretical COP,Weekday/Weekend,Demand (kW)
1/07/2016,7,0,7.7,6.3,2.8,22.47787611,WEEKDAY,265622.946
1/07/2016,7,1,7.7,7.6,4.1,22.47787611,WEEKDAY,217764.458
1/07/2016,7,2,7.7,7.6,2.6,22.47787611,WEEKDAY,191062.88
1/07/2016,7,3,8.2,8.1,2.6,23.51851852,WEEKDAY,178622.908
1/07/2016,7,4,8.7,8.5,2.6,24.66019417,WEEKDAY,175171.27
1/07/2016,7,5,8.4,8.2,6.2,23.96226415,WEEKDAY,185677.458
1/07/2016,7,6,8.9,8.9,6.2,25.14851485,WEEKDAY,229941.084
1/07/2016,7,7,9.4,9.2,6.2,26.45833333,WEEKDAY,299861.228
1/07/2016,7,8,9.7,9.2,6.7,27.31182796,WEEKDAY,359852.494
1/07/2016,7,9,10.4,8.2,7,29.53488372,WEEKDAY,380875.834
1/07/2016,7,10,11.2,7.1,7.2,32.56410256,WEEKDAY,380888.726
1/07/2016,7,11,12.7,6.3,8.7,40.31746032,WEEKDAY,364467.872
1/07/2016,7,12,12.7,6.1,7.7,40.31746032,WEEKDAY,346415.702
1/07/2016,7,13,12.4,6.1,6.7,38.48484848,WEEKDAY,334528.656
1/07/2016,7,14,12.2,6.7,5.1,37.35294118,WEEKDAY,337127.664
1/07/2016,7,15,12.2,6.8,4.3,37.35294118,WEEKDAY,331960.108
1/07/2016,7,16,12,7,3.6,36.28571429,WEEKDAY,337236.114
1/07/2016,7,17,11.6,7.2,2.6,34.32432432,WEEKDAY,360834.624
1/07/2016,7,18,11.4,7.7,2.6,33.42105263,WEEKDAY,378503.624
1/07/2016,7,19,11.4,8,2.6,33.42105263,WEEKDAY,369108.032
1/07/2016,7,20,10.5,8.2,4.6,29.88235294,WEEKDAY,352246.83
1/07/2016,7,21,10.5,7.8,4.6,29.88235294,WEEKDAY,334781.6
1/07/2016,7,22,10.5,7.5,4.6,29.88235294,WEEKDAY,314980.838
1/07/2016,7,23,11,7.6,5.7,31.75,WEEKDAY,303596.106
2/07/2016,7,0,10.9,7.8,4.9,31.35802469,WEEKEND,259668.224
2/07/2016,7,1,10.7,7.9,4.1,30.60240964,WEEKEND,213033.102
2/07/2016,7,2,11.1,8.2,4.6,32.15189873,WEEKEND,185324.966
2/07/2016,7,3,10.9,8.4,4.1,31.35802469,WEEKEND,171387.916
2/07/2016,7,4,10.6,8.6,3.6,30.23809524,WEEKEND,165079.14
2/07/2016,7,5,10.4,8.9,3.6,29.53488372,WEEKEND,167367.444
2/07/2016,7,6,10.3,9.2,4.3,29.1954023,WEEKEND,181096.84
2/07/2016,7,7,10.7,9.4,5.1,30.60240964,WEEKEND,200664.458
2/07/2016,7,8,11.2,9.3,3.6,32.56410256,WEEKEND,241250.018
2/07/2016,7,9,12.9,9.1,3.8,41.63934426,WEEKEND,268324.728
2/07/2016,7,10,14.4,8.9,4.1,55.2173913,WEEKEND,280062.606
2/07/2016,7,11,14.2,9,6.2,52.91666667,WEEKEND,264099.856
2/07/2016,7,12,14.5,8.6,5.7,56.44444444,WEEKEND,272797.808
2/07/2016,7,13,14.5,8.1,5.1,56.44444444,WEEKEND,257555.372
2/07/2016,7,14,14.7,8.4,5.1,59.06976744,WEEKEND,265766.758
2/07/2016,7,15,14.1,7.6,5.1,51.83673469,WEEKEND,268236.418
2/07/2016,7,16,13.5,7,5.1,46.18181818,WEEKEND,276097.514
2/07/2016,7,17,13,7.6,2.6,42.33333333,WEEKEND,310244.28
2/07/2016,7,18,12.7,7.5,2.9,40.31746032,WEEKEND,340510.746
2/07/2016,7,19,12.7,7.5,3.1,40.31746032,WEEKEND,328821.114
2/07/2016,7,20,12.9,6.8,4.1,41.63934426,WEEKEND,310487.116
2/07/2016,7,21,12.9,7.4,4.1,41.63934426,WEEKEND,294488.906
2/07/2016,7,22,12.9,8.1,4.1,41.63934426,WEEKEND,282065.67
2/07/2016,7,23,12.9,8.5,4.6,41.63934426,WEEKEND,285080.784
3/07/2016,7,0,11.9,8.6,4.3,35.77464789,WEEKEND,251013.35
3/07/2016,7,1,10.9,8.7,4.1,31.35802469,WEEKEND,204209.65
3/07/2016,7,2,10.1,8.9,4.6,28.53932584,WEEKEND,176185.894
3/07/2016,7,3,10.4,8.9,4.8,29.53488372,WEEKEND,163261.158
3/07/2016,7,4,10.7,8.8,5.1,30.60240964,WEEKEND,158150.802
3/07/2016,7,5,11.1,8.1,4.6,32.15189873,WEEKEND,159062.162
3/07/2016,7,6,10.8,8.2,4.3,30.97560976,WEEKEND,166760.542
3/07/2016,7,7,11,8.3,4.1,31.75,WEEKEND,177338.122
3/07/2016,7,8,12.2,8.7,4.6,37.35294118,WEEKEND,211976.53
3/07/2016,7,9,13.4,8.2,6.2,45.35714286,WEEKEND,238633.996
3/07/2016,7,10,14.5,7.9,7.7,56.44444444,WEEKEND,242339.698
3/07/2016,7,11,15.2,8.9,7.2,66.84210526,WEEKEND,247352.484
3/07/2016,7,12,15.4,8.8,7,70.55555556,WEEKEND,241145.778
3/07/2016,7,13,15.2,8.6,6.7,66.84210526,WEEKEND,247025.496
3/07/2016,7,14,15,8.2,8.2,63.5,WEEKEND,245468.464
3/07/2016,7,15,14.4,8.1,7.4,55.2173913,WEEKEND,241781.138
3/07/2016,7,16,13.7,8,6.7,47.9245283,WEEKEND,253236.816
3/07/2016,7,17,12.7,8.5,3.1,40.31746032,WEEKEND,300927.912
3/07/2016,7,18,12.2,8.1,4.9,37.35294118,WEEKEND,341118.118
3/07/2016,7,19,11.7,7.7,6.7,34.79452055,WEEKEND,343259.792
